symbol,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.8779396503300088,0.14142897137225147,0.29169922538623455,0.31432212075753957,0.20792987379707112,0.36374264786397226,0.34074131820222675,0.5248382781066138,0.2844488288307293,0.45671547761938375,0.1285948219116027,0.09811003643257493,0.49892815970316096,0.16781006927949324,0.32948303384741967,0.3499313502284346,0.14049800591723716,0.3354188536915058,0.22126690073920754,0.21178545894723994,0.30905881564714066,-0.006077092867940204,0.3999293288558443,0.3980260695361148,0.11374524459348465,0.24951755187631244,0.4121541205278259,0.24520056828201575,0.4886598062911324,0.30810311401891877,0.3240498669930311,0.10671005804249915,0.5546154890302752,0.48828903641764365,0.40595164751720086,0.48886505883859166,0.29524999086423365,0.5550265457562786,0.4208462583871676,0.1731881060728588,0.2067966323528514,0.3278004487766289,0.4304046755603626,0.11424333611722458,0.1447897533708209,0.2868659306170377,0.19506845120449212,0.3703306137480998,0.22515409741313439
ADANIPORTS,0.8779396503300088,1.0,0.16787476628949463,0.2743037513162398,0.38235657094074815,0.2034275481217164,0.39762632122674835,0.39825707798319016,0.58556943974779,0.3163437026685247,0.4951215450300657,0.13431676542193802,0.09011217040978682,0.5458886769271899,0.1602477964531323,0.2710854621743573,0.3555041988749226,0.15259261222232143,0.3774173864665878,0.24629128318371138,0.20186632905223356,0.33718851257770405,0.004105859577668086,0.44185402879814384,0.42202908194647115,0.15003948967608904,0.273142321627227,0.4342154922584426,0.3056540549162938,0.5136596904333579,0.3188416147836095,0.30166732075829567,0.09196168293607745,0.610857238400684,0.5215010587640354,0.5115428994797567,0.5126767404975044,0.28383449665038635,0.5802238143923115,0.47033043155227205,0.21480114259349692,0.2200728969947372,0.3387096390764673,0.46576173015262756,0.1331104265272542,0.1473119905823826,0.2955735296860532,0.20018575363802654,0.402349015802777,0.23884884632574838
APOLLOHOSP,0.14142897137225147,0.16787476628949463,1.0,0.25912329109361876,0.1714007419191939,0.2202099588549446,0.24565684725495984,0.2205896389686413,0.22420865952171384,0.2364492878935945,0.17497653422325501,0.2346764580912759,0.22856193723538978,0.24156957449807256,0.23352474699623776,0.2944312436603601,0.25533687511284997,0.2795082430657404,0.11453948528861745,0.13873424912909316,0.24639932835278103,0.059824940166245746,0.11341192915577734,0.16128905364520887,0.12519732440959752,0.12357268487688479,0.1717974442376143,0.2728970699099232,0.13926877983627997,0.23321873385615502,0.24924179072361388,0.18933538961373575,0.23648113083537634,0.1899160508515349,0.17215457619844046,0.17784503950813482,0.23461975276422378,0.1569743633001651,0.17788616445663594,0.2871724271181635,0.28230537460913974,0.0947228623360883,0.21038492796867087,0.2513464004905923,0.1088624229320618,0.1670620805844757,0.25151818750871124,0.0861515384931353,0.26854621628411973,0.22361073373609083
ASIANPAINT,0.29169922538623455,0.2743037513162398,0.25912329109361876,1.0,0.12930517164495103,0.1687360899328077,0.24950203228571258,0.29775518407469415,0.15708462886610178,0.14708400143661676,0.21584405922261526,0.4268905182791553,0.1476542695094463,0.19550968751833314,0.15042542131112716,0.25782737948688206,0.3455788863353339,0.11752037654872706,0.2643143841943878,0.20676709682107453,0.18063950064243015,0.2128555886001068,0.27007204423305126,0.1595630522964776,0.18190247725136738,0.1041381490706478,0.27617434472155566,0.3349180335917242,0.1813298803426885,0.2238935634235104,0.1405532890806569,0.26227211816038,0.28437413283619456,0.223500621266288,0.1289674244592147,0.11180838413819831,0.29506360917954133,0.22146501131057797,0.10917179156535202,0.20459462273364176,0.2037641826534706,0.24472368206240425,0.10626996361065626,0.2883705168813847,0.16653996673274438,0.16341947946009164,0.3079929012170716,0.22395038984746146,0.28280820181380717,0.14073026113781092
AXISBANK,0.31432212075753957,0.38235657094074815,0.1714007419191939,0.12930517164495103,1.0,0.18918420600492958,0.3872472153532005,0.35086916378198896,0.3330295691912958,0.23977022491056693,0.22522084062709358,0.13893806470642284,0.0776975442949582,0.3305228319860073,0.08592499849645244,0.2990654386225964,0.36279844816829065,0.10839713958664496,0.4422295151703762,0.24634297767361885,0.16869364805453224,0.22313224480212349,0.023355659095055152,0.6374158515659412,0.3333282674994146,0.09205682157093224,0.2718656754537982,0.3604732231540789,0.29410281659513493,0.34838145498120426,0.2325059243804194,0.24936875831593175,0.12753510563634077,0.38783835108288106,0.31297002371152327,0.2963918279203953,0.4280235914735919,0.17428281546795749,0.5095263284570789,0.4393502675396917,0.13168398978063459,0.135898963505409,0.22881885389974602,0.3651469655419879,0.10076943822949208,0.13179152131696545,0.141319256049088,0.19311707129477582,0.38797295674132365,0.2092382759206566
BAJAJ-AUTO,0.20792987379707112,0.2034275481217164,0.2202099588549446,0.1687360899328077,0.18918420600492958,1.0,0.23321909702786756,0.1754428314406147,0.2330901929401039,0.261794631456851,0.21571459778801982,0.09771964294779249,0.039834580383602915,0.22347886635512498,0.10224573370231421,0.28088375482271377,0.19711499172272978,0.1245740502426696,0.1875719358192221,0.1887243686886013,0.4053841087420572,0.21429783399803334,0.13148760959962058,0.1047983034237049,0.20192713605723292,-0.0016236129491760732,0.13771731277815052,0.2195202348132497,0.08190506704070132,0.1724447893830369,0.26969018634990277,0.33750339645492433,0.192101169182023,0.1976860236195568,0.1862238819950663,0.16771191240961625,0.24695892023032096,0.1860276114905116,0.14881080363562532,0.295724571913072,0.1444360215639518,0.18316458926051202,0.2927551619043786,0.279905884190189,0.01968759383311586,0.03506586198914431,0.19879619927838943,0.22009475992350225,0.2580455635454401,0.10208803086353854
BAJAJFINSV,0.36374264786397226,0.39762632122674835,0.24565684725495984,0.24950203228571258,0.3872472153532005,0.23321909702786756,1.0,0.7479714110071508,0.34629194292378884,0.25741400945303927,0.3459079095863302,0.22913667250441844,0.1324520543046226,0.27756759651139057,0.25558309076200875,0.2462231749188037,0.43252310544256517,0.26834384066250605,0.3249887671386673,0.344725340330304,0.23412315266770367,0.29389567791699467,0.14640170529188237,0.41294044339340163,0.4197717457794975,0.24412925345156303,0.30146925206381275,0.44460062791805727,0.27295370298889093,0.3965354077654752,0.3359303565678915,0.3244293258034864,0.28870501404653287,0.3873164617933048,0.30444370098361945,0.30681164726409776,0.4077295245644164,0.4025068372466296,0.4155461622472815,0.4645344598607272,0.20787399235431,0.30288573254856643,0.27810313695890165,0.45356540686484437,0.23779053370625736,0.20196624842363314,0.3276662921532505,0.19757181473848726,0.459087403863765,0.3068714826698995
BAJFINANCE,0.34074131820222675,0.39825707798319016,0.2205896389686413,0.29775518407469415,0.35086916378198896,0.1754428314406147,0.7479714110071508,1.0,0.3155732309942083,0.2913566609340666,0.272686508376497,0.2102130416939137,0.05118125938800788,0.278705654049938,0.08640360357770885,0.19259484738676289,0.3670400180324057,0.18323313865220556,0.335802021531546,0.30518740440676884,0.16962331663830452,0.25279210566713245,0.13201702432393345,0.34811964388483846,0.40416786606318844,0.1990717138809805,0.30286307228927956,0.38884248863863374,0.3156865903930553,0.3771688739962815,0.26652522800752604,0.278029614742221,0.25731447358398957,0.32556227828060236,0.31530113227439377,0.24466665404632265,0.4134272109964008,0.332770423549604,0.39509192123259845,0.4593464417035189,0.13345488583310205,0.23502808092580244,0.2111251085159607,0.3794203979725422,0.17613843280328997,0.17168406536803563,0.26754551776346713,0.22689660795481026,0.4321632357590445,0.2383640615428504
BEL,0.5248382781066138,0.58556943974779,0.22420865952171384,0.15708462886610178,0.3330295691912958,0.2330901929401039,0.34629194292378884,0.3155732309942083,1.0,0.3091678166449789,0.505780864918478,0.07372963161451405,0.08181890457279936,0.6202951110218682,0.13104622177704567,0.28525543918225965,0.3377521812568585,0.22401075341855484,0.33220349096213975,0.25096111167268736,0.08732704949188543,0.37567939784525595,-0.05741868812587838,0.3134993671923266,0.30845194398503883,0.16511315709089705,0.22984661554352112,0.4589695450679889,0.2663860936347447,0.5915987955103765,0.3692848621343312,0.2243755678056182,0.06795055215454295,0.6088809094102398,0.5722819841530636,0.5446626252182051,0.49244691297024684,0.2095248987825849,0.5816635409170489,0.4767985775130959,0.16298726195289887,0.17546016819002286,0.3669599961438709,0.5207622869035929,0.12118530791201922,0.22205412822680215,0.16637415583777138,0.2630970209645185,0.4362990709700655,0.255762786897646
BHARTIARTL,0.2844488288307293,0.3163437026685247,0.2364492878935945,0.14708400143661676,0.23977022491056693,0.261794631456851,0.25741400945303927,0.2913566609340666,0.3091678166449789,1.0,0.26497270570355175,0.12180569112552656,0.1194301325211014,0.2667281644528571,0.17770718717650436,0.2957815399558053,0.29694030178059966,0.25841013977791444,0.21225267643153725,0.21463404890273902,0.18354452309215735,0.2938639116667163,0.16008438530025007,0.36646128668427164,0.2312808313184534,0.2893053901082978,0.2601968255271088,0.3647867111087901,0.31887212233534923,0.32371583870814596,0.2916430590792267,0.3483552160436731,0.10915033358839016,0.36634140681898436,0.3461916203262328,0.31108571242575805,0.3659174877040801,0.24138614508596667,0.29043391291910436,0.3614461955515923,0.27210527896780473,0.24843334778967485,0.26902837154012144,0.30518600416916,0.19364484794638265,0.2720538936436312,0.27574080789029237,0.2475804966564401,0.35451900483058,0.2590403414238988
BPCL,0.45671547761938375,0.4951215450300657,0.17497653422325501,0.21584405922261526,0.22522084062709358,0.21571459778801982,0.3459079095863302,0.272686508376497,0.505780864918478,0.26497270570355175,1.0,0.020402914804979456,0.06524641691293932,0.6028069264503355,0.1796233832546996,0.24716580362407778,0.34854291714625896,0.1390353240752442,0.2351501291985705,0.17910233501037226,0.22897136917809519,0.34707190951967004,-0.001067283520200239,0.22724072836866197,0.35744365424223035,0.12672504968576373,0.1815018981342532,0.3669013037297619,0.1556958113872079,0.46922940083636,0.28051875262298004,0.2895141129949463,0.06070526789125867,0.5923008806453108,0.5954086688187508,0.5313677252543525,0.48107499505591983,0.2403607875031006,0.5273795419158421,0.3879424737600708,0.20579290793826976,0.1562760501052295,0.4157972562792323,0.46366121369638247,0.17564786056419596,0.20157140523073472,0.27508699104978884,0.2127895155935417,0.40302921156778604,0.21190532177814012
BRITANNIA,0.1285948219116027,0.13431676542193802,0.2346764580912759,0.4268905182791553,0.13893806470642284,0.09771964294779249,0.22913667250441844,0.2102130416939137,0.07372963161451405,0.12180569112552656,0.020402914804979456,1.0,0.15198111015685775,0.07869334442386253,0.1881074085238935,0.10440451127063691,0.2211400994683278,0.1176337207955566,0.06789447534825527,0.0013213380630847178,0.18632045521027002,0.10580858543434689,0.46719475888977463,0.04873086359950677,0.12082993860414298,0.10589328698246253,0.37855717562991015,0.19846982092645987,0.22602605974396067,0.09477097365772366,0.12816944137552844,0.17822933835096114,0.46364746091710146,0.08236942387402746,0.04008997665205516,-0.026060391603341244,0.13793901707459205,0.09127590634585657,0.0021628921455741855,0.120923211472559,0.19193441500714278,0.4067779890711692,0.11063264699421847,0.12177529493119184,0.11678793519956099,0.13127926107356386,0.07466224375410345,0.03641408757425435,0.18633733427966384,0.16956296785864247
CIPLA,0.09811003643257493,0.09011217040978682,0.22856193723538978,0.1476542695094463,0.0776975442949582,0.039834580383602915,0.1324520543046226,0.05118125938800788,0.08181890457279936,0.1194301325211014,0.06524641691293932,0.15198111015685775,1.0,0.08495146132746347,0.4110651496428103,0.08475357289735877,0.16495937431268903,0.05443894494454586,-0.02908414931833587,0.08449901347013153,0.1466457250613944,0.09561899237833628,0.04632515628099211,0.07904842841923515,0.04292056792099167,0.06460576734007098,0.12578523682273351,0.1586375464004498,0.03562605917190354,0.15624014406182912,0.17259885868915087,0.07498445376698591,0.12501266485467932,0.0885267765068085,0.03208702701610723,0.12903006909802675,0.057939192601854615,0.12666855581840153,0.023128995938093696,0.09301649071168282,0.4123478398961678,0.07155347023243316,0.06701574185011686,0.12791886714982115,0.08058881706518276,0.05024779049227455,0.10567339320405285,0.13387723702442542,0.12904389377821465,0.08723326618260292
COALINDIA,0.49892815970316096,0.5458886769271899,0.24156957449807256,0.19550968751833314,0.3305228319860073,0.22347886635512498,0.27756759651139057,0.278705654049938,0.6202951110218682,0.2667281644528571,0.6028069264503355,0.07869334442386253,0.08495146132746347,1.0,0.17816775965434414,0.29787541491197567,0.27962044704709105,0.1876368448862761,0.2726346722382606,0.20951365396679697,0.25038008358441527,0.38678358210965547,-0.03501737635789845,0.24686234465897927,0.3418922701621986,0.11871388500978769,0.24282439249100204,0.4385930067183762,0.22862458595263657,0.487762374277388,0.28915989105766626,0.27773649890321944,0.09069538878577244,0.6169695194685094,0.6474152130684148,0.5339274981351231,0.507030549784633,0.25171004384915374,0.5148554094087442,0.4246247468286718,0.1746466178289147,0.21192975371298237,0.4053155499138727,0.5342721556812682,0.09652956952593875,0.176813266098186,0.23706047978497008,0.252862042539616,0.3189442649413752,0.23562138171858713
DRREDDY,0.16781006927949324,0.1602477964531323,0.23352474699623776,0.15042542131112716,0.08592499849645244,0.10224573370231421,0.25558309076200875,0.08640360357770885,0.13104622177704567,0.17770718717650436,0.1796233832546996,0.1881074085238935,0.4110651496428103,0.17816775965434414,1.0,0.14032754925089294,0.25082966542725516,0.22974090788574306,0.14223895798157749,0.1207203219159672,0.13972530375971978,0.20609642657160177,0.16715396980504935,0.03253850111396855,0.08403242616666275,0.2439106159430363,0.18458582355513423,0.24227859312680647,-0.05046803636484046,0.12317838478916113,0.22637462714981132,0.1353248928688156,0.22631057220470624,0.20670554139968728,0.1799210713278427,0.19010961595405657,0.1600511689803167,0.2024977240152902,0.13503190618835648,0.13780257925004638,0.3949792702720438,0.10935869135660597,0.19881748724251472,0.20503348349915032,0.22459231285417064,0.21876622042631144,0.1385927104957823,0.16694840478470932,0.24899644060046916,0.27970367930021584
EICHERMOT,0.32948303384741967,0.2710854621743573,0.2944312436603601,0.25782737948688206,0.2990654386225964,0.28088375482271377,0.2462231749188037,0.19259484738676289,0.28525543918225965,0.2957815399558053,0.24716580362407778,0.10440451127063691,0.08475357289735877,0.29787541491197567,0.14032754925089294,1.0,0.38292732540515123,0.178012155913142,0.2843062995126024,0.2393293835352439,0.2725189260061157,0.27917640173603225,0.11670526113402462,0.3550589053648278,0.2722851719295154,0.13168259070432906,0.26546454008149356,0.33368363000066614,0.24126291108825798,0.34087182446662934,0.3580952760161077,0.39531568481363155,0.12786150962505072,0.2762122713854274,0.24207802248766302,0.21588121077721714,0.33694619504418843,0.31638493751027297,0.32122907803491496,0.37346329902940506,0.18045804928398648,0.1743999751878588,0.31923643730272155,0.31915748402237204,0.1426568312049494,0.1918986604590613,0.27071102852087153,0.23814613937791657,0.3108731969965243,0.26301935163756984
GRASIM,0.3499313502284346,0.3555041988749226,0.25533687511284997,0.3455788863353339,0.36279844816829065,0.19711499172272978,0.43252310544256517,0.3670400180324057,0.3377521812568585,0.29694030178059966,0.34854291714625896,0.2211400994683278,0.16495937431268903,0.27962044704709105,0.25082966542725516,0.38292732540515123,1.0,0.15891838298744285,0.30531499262053013,0.25170599340836464,0.28576498191767596,0.4356997112487592,0.1731183794862251,0.40325606623838073,0.339616763703719,0.1852440457806162,0.27684525717808084,0.5058804847073923,0.24607256528741214,0.35178862802169075,0.306608118568757,0.2920026851499308,0.27498785985710666,0.39652817086774156,0.3247032504023298,0.3586769863250505,0.4030001807535007,0.24738405623038137,0.42757020752307995,0.3543207761682154,0.21410517151452105,0.28158474608630535,0.3347668010824826,0.4613910259744448,0.1819778010427668,0.17318988110349468,0.3668533625585932,0.23884633034242783,0.5881332875697158,0.24489495942152437
HCLTECH,0.14049800591723716,0.15259261222232143,0.2795082430657404,0.11752037654872706,0.10839713958664496,0.1245740502426696,0.26834384066250605,0.18323313865220556,0.22401075341855484,0.25841013977791444,0.1390353240752442,0.1176337207955566,0.05443894494454586,0.1876368448862761,0.22974090788574306,0.178012155913142,0.15891838298744285,1.0,0.04524021301938434,0.12756450592311613,0.13195427573843035,0.25403808807194006,0.1238611123221303,0.10747067994185414,0.12192785896885772,0.6900609388047834,0.17785465047477342,0.2555387600792648,0.12297326609377851,0.22508641525419884,0.19807533865986562,0.2145959998042313,0.10387993267225296,0.16291672553682626,0.21935776750453728,0.11694489326407666,0.27660660352388394,0.20829020882521865,0.21332967783629445,0.23400000783893501,0.1563587415850479,0.20953423944303837,0.26939921929165483,0.2691237080107941,0.6294264687953395,0.5485604795544623,0.19944736601742918,0.2075454018087307,0.2060473166905318,0.5806608679646318
HDFCBANK,0.3354188536915058,0.3774173864665878,0.11453948528861745,0.2643143841943878,0.4422295151703762,0.1875719358192221,0.3249887671386673,0.335802021531546,0.33220349096213975,0.21225267643153725,0.2351501291985705,0.06789447534825527,-0.02908414931833587,0.2726346722382606,0.14223895798157749,0.2843062995126024,0.30531499262053013,0.04524021301938434,1.0,0.22578704493566806,0.1102782466327814,0.2655576667724183,0.07498356242981488,0.4383221324280124,0.3725073611273238,0.10872878872060388,0.17013859204477458,0.37492708359143234,0.42489332789782086,0.34993237481820966,0.33428155282442723,0.24524567348119933,0.07234978448790934,0.3456989099637793,0.28308151518103275,0.3155496118734728,0.31496597128200404,0.2174601404293672,0.36578090366705407,0.3421791205574164,0.07751297811130227,0.1110269523244116,0.20796229874828476,0.38671356076024727,0.04372733747978178,0.20759397666465185,0.19093676499864023,0.10658637771436667,0.3685100988633295,0.19452340160801612
HDFCLIFE,0.22126690073920754,0.24629128318371138,0.13873424912909316,0.20676709682107453,0.24634297767361885,0.1887243686886013,0.344725340330304,0.30518740440676884,0.25096111167268736,0.21463404890273902,0.17910233501037226,0.0013213380630847178,0.08449901347013153,0.20951365396679697,0.1207203219159672,0.2393293835352439,0.25170599340836464,0.12756450592311613,0.22578704493566806,1.0,0.2160266900693712,0.19998364765983054,0.1414551324025742,0.19578553955185604,0.17859925119309647,0.07454271253340349,0.19554433466629675,0.2553401804273872,0.2091730314001633,0.2558915702814622,0.20972296115419767,0.24638866308238233,0.1332880550174556,0.20325640176930623,0.20421344597752017,0.11588230424098173,0.22152840978486296,0.5951253160380438,0.21587504404353772,0.3013705924261003,0.16472418705534378,0.21287839125846791,0.22251325170476022,0.2724643798798891,0.11712557688901996,0.117676409550809,0.2249853739901202,0.19966708611624476,0.23808479982704922,0.19404924780442817
HEROMOTOCO,0.21178545894723994,0.20186632905223356,0.24639932835278103,0.18063950064243015,0.16869364805453224,0.4053841087420572,0.23412315266770367,0.16962331663830452,0.08732704949188543,0.18354452309215735,0.22897136917809519,0.18632045521027002,0.1466457250613944,0.25038008358441527,0.13972530375971978,0.2725189260061157,0.28576498191767596,0.13195427573843035,0.1102782466327814,0.2160266900693712,1.0,0.2307105585623009,0.20980387583081866,0.13983411644243707,0.2012871274617209,0.1055874711168406,0.10720839307556322,0.21060097685799087,0.1451148042603891,0.19905769884559107,0.359894542359388,0.292049857112756,0.2529566692834718,0.14605861406093065,0.19621412219301335,0.13715421722966403,0.24417351031673823,0.19993814444508862,0.1337444805270324,0.2550580817785771,0.21812954336729692,0.21130521611484507,0.2896578007327455,0.2860002842203552,0.10983102815712201,0.10990190049887616,0.3014151139863143,0.21686731908928736,0.2932776550007378,0.2043857812801431
HINDALCO,0.30905881564714066,0.33718851257770405,0.059824940166245746,0.2128555886001068,0.22313224480212349,0.21429783399803334,0.29389567791699467,0.25279210566713245,0.37567939784525595,0.2938639116667163,0.34707190951967004,0.10580858543434689,0.09561899237833628,0.38678358210965547,0.20609642657160177,0.27917640173603225,0.4356997112487592,0.25403808807194006,0.2655576667724183,0.19998364765983054,0.2307105585623009,1.0,0.07921655204244503,0.17455205338800014,0.2769032974678917,0.17977846395595795,0.1438259887617139,0.6082999464553734,0.2023834434474911,0.329149607687899,0.2959639182595497,0.2834839961409457,0.1173464432859351,0.35628355094589126,0.4090570661109489,0.37582407350080416,0.33158496163285867,0.1764517565635739,0.33812776877534395,0.31438507340434046,0.2516826742581231,0.17968681767383585,0.36379974600254966,0.6291083210349329,0.16251926342037507,0.2350165042732368,0.24807386645667062,0.26672936204381675,0.3109606575975848,0.2621036185073449
HINDUNILVR,-0.006077092867940204,0.004105859577668086,0.11341192915577734,0.27007204423305126,0.023355659095055152,0.13148760959962058,0.14640170529188237,0.13201702432393345,-0.05741868812587838,0.16008438530025007,-0.001067283520200239,0.46719475888977463,0.04632515628099211,-0.03501737635789845,0.16715396980504935,0.11670526113402462,0.1731183794862251,0.1238611123221303,0.07498356242981488,0.1414551324025742,0.20980387583081866,0.07921655204244503,1.0,0.0053935295689480295,0.0878285525335907,0.1627588230031045,0.3297104272818396,0.14753939074462757,0.16823008580511253,0.029361073075555275,0.13373254298994305,0.15639396833300215,0.45906050274171006,-0.0414190178933018,-0.01444469739676361,-0.07684450256026651,0.09358791213236684,0.2679952741726356,-0.05285736016568934,0.04158662347171799,0.058510825053432636,0.4162928968535605,0.09150415340012517,0.09074348374640208,0.14370211989124604,0.13490071968300588,0.1913203885612255,0.08885903802308347,0.17405298421173204,0.1867212572381732
ICICIBANK,0.3999293288558443,0.44185402879814384,0.16128905364520887,0.1595630522964776,0.6374158515659412,0.1047983034237049,0.41294044339340163,0.34811964388483846,0.3134993671923266,0.36646128668427164,0.22724072836866197,0.04873086359950677,0.07904842841923515,0.24686234465897927,0.03253850111396855,0.3550589053648278,0.40325606623838073,0.10747067994185414,0.4383221324280124,0.19578553955185604,0.13983411644243707,0.17455205338800014,0.0053935295689480295,1.0,0.353235382586967,0.2022995897366136,0.3132521280608063,0.3780124255731625,0.44409245021833377,0.416915949607548,0.31384384419954425,0.2277328673464252,0.1022646670987317,0.35563925912637545,0.27673533221295504,0.29770888602085616,0.39664343066909996,0.21031339291624276,0.5150054302474667,0.4471302960980245,0.19889246568132812,0.11889141171254733,0.1978823022625197,0.3426952267848962,0.1683617642483246,0.16682415182583582,0.14456655131542445,0.1188014113316265,0.4274320525612162,0.2214921297684289
